Month,Revenue,Expenses,Marketing_Cost,New_Customers,Active_Customers,Customer_Lifetime,Profit,Profit_Margin,CAC,ARPU,LTV,LTV_CAC_Ratio
2024-01-01,221958,279041,53001,93,1263,22,-57083,-25.717928617125764,569.9032258064516,175.73871733966746,3866.2517814726843,6.784049653345402
2024-02-01,246867,347455,21016,211,687,27,-100588,-40.745826700207,99.60189573459715,359.3406113537118,9702.196506550217,97.40975746488846
2024-03-01,231932,183355,33897,251,879,24,48577,20.944500974423537,135.04780876494024,263.8589306029579,6332.61433447099,46.89164816804492
2024-04-01,465838,315796,12612,239,992,26,150042,32.20905121522933,52.76987447698745,469.59475806451616,12209.46370967742,231.37185431437547
2024-05-01,359178,294176,33483,277,1564,24,65002,18.0974335844623,120.87725631768953,229.653452685422,5511.682864450127,45.597352490896434
2024-06-01,219879,264779,58555,63,1680,26,-44900,-20.42032208623834,929.4444444444445,130.88035714285715,3402.889285714286,3.6612078387840494
2024-07-01,210268,338795,27159,144,514,25,-128527,-61.12532577472559,188.60416666666666,409.0817120622568,10227.042801556421,54.22490384123586
2024-08-01,307892,236730,54974,97,2336,29,71162,23.112649890221245,566.7422680412371,131.80308219178082,3822.2893835616437,6.744316771664413
2024-09-01,154886,229503,50994,64,564,19,-74617,-48.17543225339927,796.78125,274.62056737588654,5217.790780141844,6.5485863028803
2024-10-01,237337,210523,24541,249,2380,18,26814,11.297859162288223,98.5582329317269,99.72142857142858,1794.9857142857143,18.21243807738653
2024-11-01,187498,82747,45920,255,2362,33,104751,55.867795923156514,180.07843137254903,79.38103302286198,2619.5740897544456,14.546850890404695
2024-12-01,474871,203855,36531,264,1020,22,271016,57.071499417736604,138.375,465.55980392156863,10242.315686274509,74.01854154489257
2025-01-01,488468,145725,11585,298,1867,20,342743,70.16693007525569,38.875838926174495,261.63256561328336,5232.651312265667,134.59905835607844
2025-02-01,275203,209981,13943,239,1652,29,65222,23.699596298005474,58.33891213389121,166.58777239709443,4831.045399515739,82.81000146914305
2025-03-01,291335,164654,33939,89,1147,25,126681,43.4829320198397,381.3370786516854,253.99738448125544,6349.934612031386,16.651762882547906
2025-04-01,378167,147435,29457,262,1995,20,230732,61.013256048253815,112.43129770992367,189.55739348370926,3791.147869674185,33.719684348529604
2025-05-01,141090,111551,11021,257,1586,18,29539,20.936281805939473,42.88326848249027,88.95964691046659,1601.2736443883987,37.34028913962603
2025-06-01,429365,83890,21653,286,1662,20,345475,80.46184481734655,75.70979020979021,258.34235860409143,5166.847172081829,68.24542978873149
2025-07-01,164820,121606,53573,131,2022,22,43214,26.218905472636816,408.9541984732824,81.513353115727,1793.293768545994,4.385072399894074
2025-08-01,362913,336840,23417,160,1092,32,26073,7.184366501062238,146.35625,332.3379120879121,10634.813186813188,72.66388136354401
2025-09-01,421879,221699,50757,102,891,31,200180,47.44962418134109,497.61764705882354,473.48933782267113,14678.169472502805,29.49688291654917
2025-10-01,294027,319931,19692,73,2198,20,-25904,-8.810075265196733,269.75342465753425,133.770245677889,2675.4049135577798,9.917964589158943
2025-11-01,427069,319629,55758,203,918,18,107440,25.157527237987303,274.66995073891627,465.21677559912854,8373.901960784313,30.487142617009496
2025-12-01,352709,285041,16873,266,788,22,67668,19.185220677669125,63.432330827067666,447.6002538071066,9847.205583756346,155.23953566521593
